Index	Plasmid Number	Plasmid backbone	Plasmid Name	Insert Name	Gene Name	Notes	PBM_ME experiment ID(s)	PBM_HK experiment ID(s)	Plasmid Number	HT-Selex (IVT) experiment ID(s)	HT-Selex (Lysate) experiment ID(s)	AffiSeq (IVT) experiment ID(s)	AffiSeq (Lysate) experiment ID(s)	SMiLE-seq experiment ID(s)	ChIP-seq replicate 1	ChIP-seq replicate 2	
688	pTH14264	pTH6838	GST.PIN1.FL	PIN1.FL	PIN1	Codebook clone	13859	13875	pTH14264	#N/A					#N/A		
689	pTH14265	pTH6838	GST.SETDB2.DBD	SETDB2.DBD	SETDB2	Codebook clone	13860	13876	pTH14265	#N/A					#N/A		
691	pTH14267	pTH6838	GST.MTERF2.FL	MTERF2.FL	MTERF2	Codebook clone	13861	13877	pTH14267	#N/A					#N/A		
693	pTH14269	pTH6838	GST.MTERF3.DBD	MTERF3.DBD	MTERF3	Codebook clone	13862	13878	pTH14269	#N/A					#N/A		
694	pTH14270	pTH6838	GST.MTERF4.FL	MTERF4.FL	MTERF4	Codebook clone	13863	13879	pTH14270	#N/A					#N/A		
697	pTH14273	pTH6838	GST.MYPOP.FL	MYPOP.FL	MYPOP	Codebook clone	13864	13880	pTH14273	#N/A					#N/A		
701	pTH14277	pTH6838	GST.TERF1.FL	TERF1.FL	TERF1	Codebook clone	13881	13897	pTH14277	#N/A					#N/A		
702	pTH14278	pTH6838	GST.TERF1.DBD	TERF1.DBD	TERF1	Codebook clone	13882	13898	pTH14278	YWC_142					#N/A		
704	pTH14280	pTH6838	GST.MYRFL.DBD	MYRFL.DBD	MYRFL	Codebook clone	13883	13899	pTH14280	#N/A					#N/A		
705	pTH14281	pTH6838	GST.NFX1.DBD	NFX1.DBD	NFX1	Codebook clone	13884	13900	pTH14281	#N/A					#N/A		
706	pTH14282	pTH6838	GST.NFXL1.DBD	NFXL1.DBD	NFXL1	Codebook clone	13885	13901	pTH14282	#N/A					#N/A		
758	pTH14334	pTH6838	GST.RFX8.FL	RFX8.FL	RFX8	Codebook clone	13886	13902	pTH14334	#N/A					#N/A		
759	pTH14335	pTH6838	GST.RFX8.DBD	RFX8.DBD	RFX8	Codebook clone	13887	13903	pTH14335	#N/A					#N/A		
763	pTH14339	pTH6838	GST.SP140L.FL	SP140L.FL	SP140L	Codebook clone	13888	13904	pTH14339	#N/A					#N/A		
765	pTH14341	pTH6838	GST.TBPL1.FL	TBPL1.FL	TBPL1	Codebook clone	13889	13905	pTH14341	#N/A					#N/A		
766	pTH14342	pTH6838	GST.THAP10.FL	THAP10.FL	THAP10	Codebook clone	13890	13906	pTH14342	#N/A					#N/A		
767	pTH14343	pTH6838	GST.THAP10.DBD	THAP10.DBD	THAP10	Codebook clone	13891	13907	pTH14343	#N/A					#N/A		
768	pTH14344	pTH6838	GST.THAP11.FL	THAP11.FL	THAP11	Codebook clone	13892	13908	pTH14344	#N/A					#N/A		
769	pTH14345	pTH6838	GST.THAP11.DBD	THAP11.DBD	THAP11	Codebook clone	13893	13909	pTH14345	#N/A					#N/A		
770	pTH14346	pTH6838	GST.THAP2.FL	THAP2.FL	THAP2	Codebook clone	13894	13910	pTH14346	#N/A					#N/A		
771	pTH14347	pTH6838	GST.THAP4.FL	THAP4.FL	THAP4	Codebook clone	13895	13911	pTH14347	#N/A					#N/A		
772	pTH14348	pTH6838	GST.THAP4.DBD	THAP4.DBD	THAP4	Codebook clone	13896	13912	pTH14348	#N/A					#N/A		
628	pTH14204	pTH6838	GST.MBNL2.FL	MBNL2.FL	MBNL2	Codebook clone	13913	13929	pTH14204	YWC_112					#N/A		
631	pTH14207	pTH6838	GST.ZGPAT.FL	ZGPAT.FL	ZGPAT	Codebook clone	13914	13930	pTH14207	#N/A					#N/A		
632	pTH14208	pTH6838	GST.ZGPAT.DBD	ZGPAT.DBD	ZGPAT	Codebook clone	13915	13931	pTH14208	#N/A					#N/A		
637	pTH14213	pTH6838	GST.TIGD4.FL	TIGD4.FL	TIGD4	Codebook clone	13918	13934	pTH14213	#N/A					#N/A		
640	pTH14216	pTH6838	GST.TIGD7.FL	TIGD7.FL	TIGD7	Codebook clone	13919	13935	pTH14216	YWC_118					#N/A		
644	pTH14220	pTH6838	GST.CXXC4.FL	CXXC4.FL	CXXC4	Codebook clone	13920	13936	pTH14220	YWC_120					#N/A		
646	pTH14222	pTH6838	GST.FBXL19.DBD	FBXL19.DBD	FBXL19	Codebook clone	13921	13937	pTH14222	YWC_122					#N/A		
647	pTH14223	pTH6838	GST.KDM2A.DBD	KDM2A.DBD	KDM2A	Codebook clone	13922	13938	pTH14223	YWC_123					#N/A		
648	pTH14224	pTH6838	GST.TET3.DBD	TET3.DBD	TET3	Codebook clone	13923	13939	pTH14224	YWC_124					#N/A		
655	pTH14231	pTH6838	GST.ZGLP1.FL	ZGLP1.FL	ZGLP1	Codebook clone	13925	13941	pTH14231	YWC_128					#N/A		
659	pTH14235	pTH6838	GST.GTF2IRD2B.DBD	GTF2IRD2B.DBD	GTF2IRD2B	Codebook clone	13926	13942	pTH14235	#N/A					#N/A		
